,titles,publishers,authors,years
474,"Constructing China's Jerusalem : Christians, power, and place in contemporary Wenzhou","Stanford, Calif. : Stanford University Press c2011",Nanlai Cao,2011
475,"Scouting in Hong Kong, 1910-2010","Originally presented as the author's Ph.D. thesis--University of Hong Kong, 2010. 2011",Paul Kua,2011
476,Culture clash,"Lincolnwood, Ill. : NTC Business Books c1995","Ned Seelye, Alan Seelye-James",1995
477,"Dimensions of radical democracy : pluralism, citizenship, community",London : Verso 1992,edited by Chantal Mouffe,1992
478,Global civil society : dimensions of the nonprofit sector,"Baltimore, MD : Johns Hopkins Center for Civil Society Studies 2004",Lester M. Salamon ... [et al.],2004
479,Equilibrium analysis : variations on themes by Edgeworth and Walras,"Amsterdam ; New York : North-Holland ; New York, N.Y. : Sole distributors for the U.S.A. and Canada, Elsevier Science Pub. Co. 1988","W. Hildenbrand, A.P. Kirman",1988
480,The Routledge companion to landscape studies,London ; New York : Routledge 2013,"edited by Peter Howard, Ian Thompson, Emma Waterton",2013
481,Modern political ideologies,"Oxford, UK ; Cambridge, USA : Blackwell 1992",Andrew Vincent,1992
482,Constructing education for development : international organizations and education for all,New York : RoutledgeFalmer 2003,Colette Chabbott,2003
483,Teaching in the knowledge society : education in the age of insecurity,New York : Teachers College Press c2003,Andy Hargreaves,2003
484,Political theory and international relations,"Princeton, N.J. : Princeton University Press c1979",Charles R. Beitz,1979
485,The rise of Christianity : a sociologist reconsiders history,"Princeton, N.J. : Princeton University Press c1996",Rodney Stark,1996
486,Millennial monsters : Japanese toys and the global imagination,Berkeley : University of California Press 2006,Anne Allison ; foreword by Gary Cross,2006
487,The complex roles of the teacher : an ecological perspective,"New York : Teachers College,Columbia University 1984","Shirley F. Heck, C. Ray Williams ;foreword by John I. Goodlad, Shirley F. Heck, C. Ray Williams ; foreword by John I. Goodlad",1984
488,人間開眼 : 從小說與映像窺視下流日本,初版 香港 : 天窗出版 2013,湯禎兆著,2013
489,Community-based participatory research,"Thousand Oaks, California : SAGE 2013",Karen Hacker,2013
490,Basic principles of curriculum and instruction,"Chicago, University of Chicago Press 1949",[by] Ralph W. Tyler,1949
491,Ethnography as Christian theology and ethics,London ; New York : Continuum c2011,edited by Christian Scharen and Aana Marie Vigen,2011
